date, pm25, pm10, o3, no2, so2
2024/3/10, 43, 7, 29, 7, 
2024/3/11, 18, 12, 21, 5, 
2024/3/12, 24, 8, 21, 6, 
2024/3/13, 24, 7, 19, 7, 
2024/3/14, 23, 12, 30, 7, 
2024/3/15, 26, 6, 30, 3, 
2024/3/16, 12, 7, 27, 9, 
2024/3/17, 22, 12, 12, 13, 
2024/3/18, 39, 11, 27, 10, 
2024/3/19, 40, 14, 31, 12, 
2024/3/20, 33, 16, 31, 12, 
2024/3/21, 37, 22, 35, 13, 
2024/3/22, 57, 16, 31, 4, 
2024/3/23, 38, 4, 31, 1, 
2024/3/24, 10, 6, 33, 5, 
2024/3/25, 15, 11, 29, 10, 
2024/3/26, 26, 20, 24, 10, 
2024/3/27, 41, 9, 37, 4, 
2024/3/28, 19, 6, 25, 8, 
2024/3/29, 12, 36, 20, 15, 
2024/3/30, 53, 59, 28, 7, 
2024/3/31, 76, 22, 32, 2, 
2023/10/1, 45, 18, 37, 13, 
2023/10/2, 54, 30, 36, 5, 
2023/10/3, 75, 10, 29, 8, 
2023/10/4, 27, 11, 21, 11, 
2023/10/5, 22, 16, 24, 12, 
2023/10/6, 37, 16, 28, 11, 
2023/10/7, 41, 14, 28, 8, 
2023/10/8, 31, 30, 19, 12, 
2023/10/9, 49, 44, 22, 14, 
2023/10/10, 61, 36, 31, 14, 
2023/10/11, 57, 31, 30, 9, 
2023/10/12, 50, 27, 33, 9, 
2023/10/13, 44, 18, 33, 3, 
2023/10/14, 32, 7, 26, 5, 
2023/10/15, 17, 7, 25, 9, 
2023/10/16, 21, 11, 13, 10, 
2023/10/17, 34, 20, 10, 10, 
2023/10/18, 56, 17, 4, 12, 
2023/10/19, 54, 13, 24, 8, 
2023/10/20, 42, 5, 29, 4, 
2023/10/21, 14, 5, 31, 6, 
2023/10/22, 12, 10, 7, 13, 
2023/10/23, 26, 13, 16, 11, 
2023/10/24, 34, 7, 24, 6, 
2023/10/25, 19, 5, 20, 8, 
2023/10/26, 11, 5, 23, 6, 
2023/10/27, 13, 5, 25, 6, 
2023/10/28, 11, 8, 22, 7, 
2023/10/29, 23, 7, 24, 8, 
2023/10/30, 15, 7, 23, 6, 
2023/10/31, 13, 5, 24, 4, 
2023/11/1, 9, 4, 23, 8, 
2023/11/2, 10, 6, 18, 8, 
2023/11/3, 12, 7, 28, 5, 
2023/11/4, 16, 3, 30, 1, 
2023/11/5, 6, 3, 23, 5, 
2023/11/6, 6, 4, 23, 8, 
2023/11/7, 8, 6, 25, 10, 
2023/11/8, 12, 11, 26, 10, 
2023/11/9, 26, 4, 26, 5, 
2023/11/10, 9, 4, 26, 4, 
2023/11/11, 9, 4, 17, 6, 
2023/11/12, 14, 5, 23, 6, 
2023/11/13, 19, 5, 27, 5, 
2023/11/14, 12, 4, 26, 5, 
2023/11/15, 9, 7, 18, 8, 
2023/11/16, 16, 6, 21, 7, 
2023/11/17, 18, 4, 17, 7, 
2023/11/18, 13, 5, 25, 2, 
2023/11/19, 14, 4, 25, 2, 
2023/11/20, 11, , 14, 9, 
2023/11/22, 25, 11, 24, 6, 
2023/11/23, 38, 5, 26, 5, 
2023/11/24, 13, 4, 25, 4, 
2023/11/25, 14, 4, 19, 4, 
2023/11/26, 14, 5, 26, 6, 
2023/11/27, 18, 3, 21, 7, 
2023/11/28, 10, 8, 16, 9, 
2023/11/29, 31, 13, 2, 18, 
2023/11/30, 43, 17, 1, 14, 
2023/12/1, 58, 12, 13, 8, 
2023/12/2, 52, 13, 13, 11, 
2023/12/3, 52, 22, 6, 18, 
2023/12/4, 72, 15, 21, 7, 
2023/12/5, 52, 4, 16, 7, 
2023/12/6, 12, 11, 16, 12, 
2023/12/7, 40, 19, 4, 16, 
2023/12/8, 58, 12, 24, 8, 
2023/12/9, 44, 6, 30, 1, 
2023/12/10, 19, 5, 25, 7, 
2023/12/11, 14, 8, 23, 12, 
2023/12/12, 20, 4, 21, 9, 
2023/12/13, 12, 4, 17, 10, 
2023/12/14, 14, 6, 11, 9, 
2023/12/15, 21, 9, 6, 11, 
2023/12/16, 32, 17, 4, 9, 
2023/12/17, 56, 22, 3, 12, 
2023/12/18, 68, 24, 23, 14, 
2023/12/19, 68, 10, 25, 5, 
2023/12/20, 33, 3, 30, 2, 
2023/12/21, 8, 2, 30, 2, 
2023/12/22, 7, 2, 29, 2, 
2023/12/23, 6, 2, 27, 1, 
2023/12/24, 4, 2, 27, 2, 
2023/12/25, 5, 3, 25, 3, 
2023/12/26, 10, 6, 14, 11, 
2023/12/27, 20, 12, 23, 9, 
2023/12/28, 37, 5, 24, 5, 
2023/12/29, 16, 5, 25, 8, 
2023/12/30, 14, 11, 28, 7, 
2023/12/31, 39, 9, 27, 1, 
2023/7/1, 44, 9, 40, 3, 
2023/7/2, 24, 17, 34, 4, 
2023/7/3, 53, 9, 33, 3, 
2023/7/4, 23, 9, 32, 4, 
2023/7/5, 21, 9, 44, 7, 
2023/7/6, 18, 12, 44, 7, 
2023/7/7, 28, 15, 45, 6, 
2023/7/8, 36, 14, 46, 6, 
2023/7/9, 33, 16, 43, 7, 
2023/7/10, 41, 17, 46, 9, 
2023/7/11, 43, 16, 32, 3, 
2023/7/12, 39, 11, 41, 4, 
2023/7/13, 21, 11, 46, 8, 
2023/7/14, 21, 13, 43, 8, 
2023/7/15, 28, 11, 31, 2, 
2023/7/16, 24, 8, 35, 6, 
2023/7/17, 21, 11, 39, 8, 
2023/7/18, 25, 16, 41, 6, 
2023/7/19, 32, 13, 38, 4, 
2023/7/20, 22, 10, 36, 10, 
2023/7/21, 18, 8, 36, 6, 
2023/7/22, 17, 8, 34, 5, 
2023/7/23, 20, 12, 34, 8, 
2023/7/24, 32, 7, 25, 5, 
2023/7/25, 21, 7, 28, 4, 
2023/7/26, 19, 7, 21, 6, 
2023/7/27, 19, 8, 19, 6, 
2023/7/28, 18, 7, 26, 3, 
2023/7/29, 15, 6, 29, 1, 
2023/7/30, 15, 6, 30, 3, 
2023/7/31, 16, 7, 31, 2, 
2023/8/1, 18, 5, 28, 2, 
2023/8/2, 14, 6, 27, 1, 
2023/8/3, 13, 5, 26, 3, 
2023/8/4, 9, 6, 35, 3, 
2023/8/5, 17, 6, 28, 1, 
2023/8/6, 16, 3, 28, 2, 
2023/8/7, 8, 5, 28, 2, 
2023/8/8, 12, 6, 27, 3, 
2023/8/9, 14, 7, 42, 4, 
2023/8/10, 17, 11, 46, 8, 
2023/8/11, 26, 20, 35, 7, 
2023/8/12, 38, 10, 28, 4, 
2023/8/13, 28, 9, 38, 5, 
2023/8/14, 27, 14, 35, 5, 
2023/8/15, 39, 15, 42, 6, 
2023/8/16, 36, 14, 33, 5, 
2023/8/17, 38, 15, 42, 4, 
2023/8/18, 41, 17, 47, 7, 
2023/8/19, 35, 22, 56, 5, 
2023/8/20, 52, 21, 49, 7, 
2023/8/21, 53, 21, 48, 6, 
2023/8/22, 50, 19, 57, 7, 
2023/8/23, 43, 26, 53, 8, 
2023/8/24, 54, 17, 35, 4, 
2023/8/25, 37, 12, 26, 3, 
2023/8/26, 31, 10, 23, 2, 
2023/8/27, 27, 7, 23, 5, 
2023/8/28, 16, 8, 20, 6, 
2023/8/29, 21, 10, 26, 4, 
2023/8/30, 31, 8, 30, 4, 
2023/8/31, 19, 7, 21, 4, 
2023/9/1, 17, 7, 32, 6, 
2023/9/2, 15, 11, 33, 6, 
2023/9/3, 24, 10, 38, 5, 
2023/9/4, 23, 17, 34, 4, 
2023/9/5, 28, 20, 42, 8, 
2023/9/6, 32, 23, 44, 7, 
2023/9/7, 39, 25, 55, 11, 
2023/9/8, 49, 25, 61, 11, 
2023/9/9, 56, 29, 61, 9, 
2023/9/10, 62, 27, 66, 10, 
2023/9/11, 58, 39, 51, 9, 
2023/9/12, 63, 25, 30, 5, 
2023/9/13, 50, 13, 29, 7, 
2023/9/14, 30, 16, 30, 9, 
2023/9/15, 32, 15, 38, 6, 
2023/9/16, 43, 13, 37, 5, 
2023/9/17, 33, 11, 24, 6, 
2023/9/18, 25, 6, 29, 3, 
2023/9/19, 11, 7, 35, 7, 
2023/9/20, 13, 11, 36, 9, 
2023/9/21, 19, 8, 25, 3, 
2023/9/22, 13, 4, 27, 3, 
2023/9/23, 8, 5, 31, 4, 
2023/9/24, 13, 8, 31, 11, 
2023/9/25, 19, 14, 33, 10, 
2023/9/26, 28, 18, 36, 13, 
2023/9/27, 33, 20, 31, 14, 
2023/9/28, 36, 22, 35, 9, 
2023/9/29, 35, 15, 31, 6, 
2023/9/30, 38, 15, 34, 10, 
2023/4/1, 8, 2, 28, 2, 
2023/4/2, 6, 5, 32, 2, 
2023/4/3, 17, 7, 37, 4, 
2023/4/4, 23, 13, 36, 10, 
2023/4/5, 44, 20, 40, 12, 
2023/4/6, 57, 12, 31, 5, 
2023/4/7, 42, 10, 30, 6, 
2023/4/8, 39, 14, 34, 5, 
2023/4/9, 53, 11, 38, 7, 
2023/4/10, 44, 6, 35, 4, 
2023/4/11, 17, 6, 32, 4, 
2023/4/12, 15, 3, 33, 3, 
2023/4/13, 8, 5, 37, 9, 
2023/4/14, 15, 12, 36, 9, 
2023/4/15, 36, 8, 23, 4, 
2023/4/16, 28, 10, 21, 4, 
2023/4/17, 41, 10, 28, 3, 
2023/4/18, 39, 13, 24, 5, 
2023/4/19, 47, 14, 27, 10, 
2023/4/20, 48, 12, 35, 8, 
2023/4/21, 49, 10, 41, 10, 
2023/4/22, 31, 7, 42, 2, 
2023/4/23, 18, 4, 38, 4, 
2023/4/24, 9, 6, 34, 6, 
2023/4/25, 16, 10, 36, 8, 
2023/4/26, 31, 15, 41, 11, 
2023/4/27, 39, 15, 22, 11, 
2023/4/28, 38, 6, 28, 4, 
2023/4/29, 16, 8, 35, 4, 
2023/4/30, 29, 11, 26, 9, 
2023/5/1, 39, 12, 38, 6, 
2023/5/2, 40, 13, 38, 4, 
2023/5/3, 40, 13, 44, 6, 
2023/5/4, 38, 16, 36, 9, 
2023/5/5, 42, 9, 39, 4, 
2023/5/6, 24, 10, 34, 7, 
2023/5/7, 25, 10, 23, 5, 
2023/5/8, 32, 14, 27, 5, 
2023/5/9, 46, 7, 27, 4, 
2023/5/10, 19, 5, 27, 4, 
2023/5/11, 9, 6, 22, 3, 
2023/5/12, 18, 7, 21, 3, 
2023/5/13, 21, 10, 27, 7, 
2023/5/14, 33, 11, 38, 5, 
2023/5/15, 35, 14, 25, 5, 
2023/5/16, 45, 12, 31, 5, 
2023/5/17, 31, 13, 36, 6, 
2023/5/18, 33, 13, 29, 4, 
2023/5/19, 34, 13, 36, 5, 
2023/5/20, 36, 17, 36, 7, 
2023/5/21, 49, 19, 43, 8, 
2023/5/22, 54, 24, 40, 4, 
2023/5/23, 64, 16, 33, 3, 
2023/5/24, 45, 14, 38, 4, 
2023/5/25, 37, 17, 43, 6, 
2023/5/26, 45, 17, 46, 3, 
2023/5/27, 44, 17, 48, 6, 
2023/5/28, 41, 13, 49, 6, 
2023/5/29, 37, 15, 45, 3, 
2023/5/30, 32, 17, 47, 3, 
2023/5/31, 27, 19, 59, 9, 
2023/6/1, 35, 18, 42, 4, 
2023/6/2, 38, 17, 45, 3, 
2023/6/3, 41, 16, 47, 4, 
2023/6/4, 41, 14, 48, 6, 
2023/6/5, 29, 14, 49, 3, 
2023/6/6, 30, 14, 55, 6, 
2023/6/7, 34, 14, 52, 8, 
2023/6/8, 36, 15, 50, 6, 
2023/6/9, 44, 16, 48, 5, 
2023/6/10, 47, 13, 51, 1, 
2023/6/11, 38, 15, 48, 4, 
2023/6/12, 46, 16, 51, 2, 
2023/6/13, 38, 19, 50, 7, 
2023/6/14, 42, 19, 50, 7, 
2023/6/15, 46, 17, 55, 9, 
2023/6/16, 40, 20, 65, 10, 
2023/6/17, 48, 21, 65, 8, 
2023/6/18, 55, 17, 50, 4, 
2023/6/19, 47, 14, 47, 6, 
2023/6/20, 35, 22, 45, 7, 
2023/6/21, 52, 19, 46, 6, 
2023/6/22, 51, 16, 44, 3, 
2023/6/23, 36, 10, 49, 5, 
2023/6/24, 31, 11, 57, 6, 
2023/6/25, 33, 15, 52, 6, 
2023/6/26, 44, 13, 48, 4, 
2023/6/27, 29, 12, 48, 4, 
2023/6/28, 24, 14, 55, 8, 
2023/6/29, 33, 20, 33, 8, 
2023/6/30, 50, 14, 32, 3, 
2023/1/2, 33, 9, 17, 15, 
2023/1/3, 21, 10, 28, 5, 
2023/1/4, 30, 3, 25, 4, 
2023/1/5, 8, 5, 21, 4, 
2023/1/6, 13, 6, 18, 8, 
2023/1/7, 17, 10, 29, 8, 
2023/1/8, 36, 5, 28, 4, 
2023/1/9, 17, 4, 23, 7, 
2023/1/10, 9, 6, 26, 6, 
2023/1/11, 14, 4, 29, 2, 
2023/1/12, 11, 3, 29, 4, 
2023/1/13, 8, 4, 29, 4, 
2023/1/14, 12, 3, 31, 1, 
2023/1/15, 7, 3, 29, 3, 
2023/1/16, 7, 3, 24, 8, 
2023/1/17, 9, 8, 17, 11, 
2023/1/18, 28, 12, 15, 13, 
2023/1/19, 43, 18, 14, 18, 
2023/1/20, 55, 21, 16, 14, 
2023/1/21, 61, 14, 14, 8, 
2023/1/22, 54, 12, 15, 7, 
2023/1/23, 50, 13, 15, 6, 
2023/1/24, 53, 14, 13, 6, 
2023/1/25, 55, 12, 10, 10, 
2023/1/26, 51, 13, 9, 10, 
2023/1/27, 52, 12, 14, 7, 
2023/1/28, 47, 13, 21, 9, 
2023/1/29, 46, 15, 21, 6, 
2023/1/30, 50, 10, 22, 5, 
2023/1/31, 29, 9, 27, 4, 
2023/2/1, 23, 6, 26, 5, 
2023/2/2, 18, 3, 26, 3, 
2023/2/3, 10, 5, 24, 8, 
2023/2/4, 14, 15, 13, 11, 
2023/2/5, 50, 13, 21, 7, 
2023/2/6, 51, 14, 24, 8, 
2023/2/7, 51, 19, 27, 12, 
2023/2/8, 57, 28, 16, 19, 
2023/2/9, 77, 45, 13, 21, 
2023/2/10, 103, 45, 23, 18, 
2023/2/11, 101, 30, 23, 14, 
2023/2/12, 83, 19, 12, 14, 
2023/2/13, 63, 22, 10, 15, 
2023/2/14, 65, 30, 7, 20, 
2023/2/15, 77, 40, 28, 18, 
2023/2/16, 83, 18, 28, 4, 
2023/2/17, 41, 6, 24, 2, 
2023/2/18, 13, 6, 29, 2, 
2023/2/19, 13, 8, 29, 8, 
2023/2/20, 18, 15, 23, 16, 
2023/2/21, 31, 23, 15, 19, 
2023/2/22, 50, 30, 19, 16, 
2023/2/23, 69, 24, 24, 9, 
2023/2/24, 62, 15, 28, 5, 
2023/2/25, 39, 5, 27, 3, 
2023/2/26, 17, 5, 28, 2, 
2023/2/27, 15, 9, 25, 4, 
2023/2/28, 32, 21, 29, 8, 
2023/3/1, 65, 28, 19, 10, 
2023/3/2, 77, 37, 18, 17, 
2023/3/3, 92, 38, 21, 13, 
2023/3/4, 95, 27, 22, 9, 
2023/3/5, 76, 21, 25, 10, 
2023/3/6, 64, 14, 29, 5, 
2023/3/7, 48, 13, 28, 5, 
2023/3/8, 41, 6, 33, 5, 
2023/3/9, 15, 5, 31, 3, 
2023/3/10, 13, 4, 32, 7, 
2023/3/11, 10, 11, 27, 10, 
2023/3/12, 38, 8, 29, 5, 
2023/3/13, 25, 5, 31, 3, 
2023/3/14, 9, 5, 28, 9, 
2023/3/15, 12, 11, 30, 14, 
2023/3/16, 38, 15, 20, 18, 
2023/3/17, 41, 13, 36, 11, 
2023/3/18, 27, 11, 35, 7, 
2023/3/19, 31, 6, 25, 7, 
2023/3/20, 17, 8, 28, 10, 
2023/3/21, 20, 11, 33, 9, 
2023/3/22, 27, 8, 33, 5, 
2023/3/23, 17, 6, 30, 3, 
2023/3/24, 16, 3, 32, 2, 
2023/3/25, 8, 3, 35, 2, 
2023/3/26, 8, 4, 32, 4, 
2023/3/27, 12, 8, 35, 7, 
2023/3/28, 20, 8, 28, 8, 
2023/3/29, 20, 16, 31, 5, 
2023/3/30, 31, 9, 34, 4, 
2023/3/31, 22, 3, 30, 1, 
2022/10/1, 26, 4, 21, 4, 
2022/10/2, 11, 7, 24, 6, 
2022/10/3, 22, 13, 15, 8, 
2022/10/4, 42, 13, 31, 6, 
2022/10/5, 34, 12, 24, 9, 
2022/10/6, 25, 16, 22, 10, 
2022/10/7, 31, 18, 28, 9, 
2022/10/8, 47, 14, 24, 7, 
2022/10/9, 35, 16, 17, 10, 
2022/10/10, 38, 25, 11, 8, 
2022/10/11, 50, 26, 16, 9, 
2022/10/12, 60, 24, 14, 8, 
2022/10/13, 57, 18, 18, 6, 
2022/10/14, 46, 7, 17, 2, 
2022/10/15, 15, 7, 19, 6, 
2022/10/16, 12, 15, 18, 11, 
2022/10/17, 26, 23, 19, 10, 
2022/10/18, 36, 18, 16, 8, 
2022/10/19, 39, 18, 4, 10, 
2022/10/20, 46, 20, 16, 7, 
2022/10/21, 50, 9, 23, 6, 
2022/10/22, 17, 13, 24, 9, 
2022/10/23, 27, 14, 26, 5, 
2022/10/24, 26, 10, 19, 10, 
2022/10/25, 18, 17, 18, 12, 
2022/10/26, 30, 22, 8, 10, 
2022/10/27, 39, 27, 3, 12, 
2022/10/28, 46, 32, 8, 12, 
2022/10/29, 54, 33, 7, 9, 
2022/10/30, 60, 26, 5, 10, 
2022/10/31, 54, 24, 24, 6, 
2022/11/1, 51, 11, 21, 10, 
2022/11/2, 24, 21, 9, 11, 
2022/11/3, 46, 13, 16, 9, 
2022/11/4, 31, 8, 15, 8, 
2022/11/5, 21, 12, 19, 6, 
2022/11/6, 43, 7, 20, 10, 
2022/11/7, 23, 16, 6, 13, 
2022/11/8, 40, 16, 18, 9, 
2022/11/9, 43, 7, 18, 11, 
2022/11/10, 18, 17, 3, 10, 
2022/11/11, 43, 19, 2, 8, 
2022/11/12, 53, 21, 5, 9, 
2022/11/13, 61, 15, 15, 10, 
2022/11/14, 53, 17, 2, 15, 
2022/11/15, 46, 17, 18, 14, 
2022/11/16, 45, 14, 22, 10, 
2022/11/17, 36, 5, 21, 8, 
2022/11/18, 12, 5, 17, 6, 
2022/11/19, 13, 5, 27, 4, 
2022/11/20, 18, 3, 23, 9, 
2022/11/21, 11, 9, 20, 9, 
2022/11/22, 24, 9, 22, 10, 
2022/11/23, 21, 9, 19, 11, 
2022/11/24, 21, 22, 10, 11, 
2022/11/25, 53, 17, 12, 10, 
2022/11/26, 47, 21, 6, 8, 
2022/11/27, 61, 18, , 12, 
2022/11/28, 57, 18, 4, 12, 
2022/11/29, 56, 14, 12, 8, 
2022/11/30, 51, 16, 11, 8, 
2022/12/1, 56, 21, 2, 9, 
2022/12/2, 64, 14, 7, 7, 
2022/12/3, 53, 15, 6, 6, 
2022/12/4, 58, 15, 10, 10, 
2022/12/5, 55, 14, 4, 10, 
2022/12/6, 46, 11, 12, 10, 
2022/12/7, 37, 14, 14, 13, 
2022/12/8, 42, 21, 2, 16, 
2022/12/9, 59, 24, 9, 11, 
2022/12/10, 74, 19, 11, 12, 
2022/12/11, 65, 23, 11, 16, 
2022/12/12, 74, 26, 16, 14, 
2022/12/13, 75, 22, 9, 14, 
2022/12/14, 67, 27, 8, 15, 
2022/12/15, 79, 25, 9, 18, 
2022/12/16, 77, 24, 6, 21, 
2022/12/17, 74, 38, 5, 21, 
2022/12/18, 110, 39, 1, 22, 
2022/12/19, 107, 34, 1, 20, 
2022/12/20, 93, 16, 20, 10, 
2022/12/21, 53, 4, 24, 4, 
2022/12/22, 14, 4, 20, 7, 
2022/12/23, 12, 5, 22, 6, 
2022/12/24, 13, 9, 19, 8, 
2022/12/25, 28, 6, 26, 4, 
2022/12/26, 20, 5, 21, 12, 
2022/12/27, 14, 12, 18, 12, 
2022/12/28, 38, 8, 27, 4, 
2022/12/29, 24, 4, 24, 7, 
2022/12/30, 10, 3, 23, 5, 
2022/12/31, 10, 21, 18, 7, 
2023/1/1, 76, 13, 28, 8, 
2022/7/1, 25, 6, 37, 4, 
2022/7/2, 12, 7, 38, 5, 
2022/7/3, 15, 10, 45, 5, 
2022/7/4, 19, 12, 51, 5, 
2022/7/5, 23, 12, 44, 5, 
2022/7/6, 24, 13, 27, 4, 
2022/7/7, 24, 8, 35, 3, 
2022/7/8, 17, 10, 37, 6, 
2022/7/9, 22, 9, 28, 2, 
2022/7/10, 23, 7, 31, 4, 
2022/7/11, 15, 9, 33, 6, 
2022/7/12, 18, 10, 37, 8, 
2022/7/13, 14, 12, 54, 9, 
2022/7/14, 18, 15, 49, 5, 
2022/7/15, 27, 14, 44, 6, 
2022/7/16, 27, 12, 48, 7, 
2022/7/17, 27, 11, 55, 8, 
2022/7/18, 24, 17, 52, 8, 
2022/7/19, 31, 22, 71, 8, 
2022/7/20, 44, 23, 38, 4, 
2022/7/21, 57, 14, 58, 7, 
2022/7/22, 44, 15, 55, 3, 
2022/7/23, 44, 16, 50, 4, 
2022/7/24, 52, 18, 44, 8, 
2022/7/25, 53, 13, 31, 3, 
2022/7/26, 30, 11, 39, 4, 
2022/7/27, 19, 13, 49, 4, 
2022/7/28, 28, 13, 37, 5, 
2022/7/29, 35, 13, 49, 6, 
2022/7/30, 34, 12, 45, 7, 
2022/7/31, 30, 9, 31, 3, 
2022/8/1, 22, 9, 52, 4, 
2022/8/2, 18, 12, 48, 6, 
2022/8/3, 28, 12, 57, 9, 
2022/8/4, 24, 20, 63, 6, 
2022/8/5, 33, 12, 39, 2, 
2022/8/6, 24, 11, 43, 4, 
2022/8/7, 19, 8, 47, 7, 
2022/8/8, 17, 12, 46, 9, 
2022/8/9, 24, 12, 45, 6, 
2022/8/10, 24, 13, 50, 6, 
2022/8/11, 25, 15, 45, 7, 
2022/8/12, 27, 14, 46, 6, 
2022/8/13, 24, 12, 52, 6, 
2022/8/14, 28, 11, 47, 3, 
2022/8/15, 26, 10, 54, 6, 
2022/8/16, 23, 17, 48, 11, 
2022/8/17, 41, 15, 54, 5, 
2022/8/18, 39, 17, 38, 8, 
2022/8/19, 54, 12, 27, 3, 
2022/8/20, 40, 7, 47, 5, 
2022/8/21, 17, 10, 48, 7, 
2022/8/22, 27, 12, 55, 8, 
2022/8/23, 30, 13, 45, 8, 
2022/8/24, 32, , 48, 7, 
2022/8/26, 40, 18, 30, 6, 
2022/8/27, 50, 21, 38, 6, 
2022/8/28, 60, 16, 46, 8, 
2022/8/29, 46, 16, 48, 7, 
2022/8/30, 42, 15, 28, 8, 
2022/8/31, 40, 16, 34, 7, 
2022/9/1, 47, 13, 37, 5, 
2022/9/2, 34, 11, 29, 8, 
2022/9/3, 24, 8, 26, 8, 
2022/9/4, 18, 9, 41, 10, 
2022/9/5, 21, 14, 37, 9, 
2022/9/6, 31, 14, 38, 5, 
2022/9/7, 30, 11, 29, 4, 
2022/9/8, 22, 6, 29, 6, 
2022/9/9, 12, 5, 26, 2, 
2022/9/10, 9, 4, 33, 3, 
2022/9/11, 12, 10, 37, 8, 
2022/9/12, 30, 11, 42, 10, 
2022/9/13, 22, 12, 24, 6, 
2022/9/14, 22, 7, 23, 4, 
2022/9/15, 15, 8, 24, 7, 
2022/9/16, 20, 6, 23, 3, 
2022/9/17, 15, 5, 24, 1, 
2022/9/18, 11, 5, 21, 6, 
2022/9/19, 10, 8, 26, 9, 
2022/9/20, 18, 10, 27, 9, 
2022/9/21, 27, 11, 30, 10, 
2022/9/22, 29, 13, 27, 14, 
2022/9/23, 32, 20, 21, 12, 
2022/9/24, 51, 12, 24, 6, 
2022/9/25, 40, 10, 26, 5, 
2022/9/26, 32, 5, 26, 3, 
2022/9/27, 11, 4, 21, 6, 
2022/9/28, 8, 9, 18, 9, 
2022/9/29, 23, 13, 24, 9, 
2022/9/30, 34, 9, 23, 3, 
2022/4/1, 45, 10, 31, 6, 
2022/4/2, 38, 11, 31, 6, 
2022/4/3, 41, 12, 39, 8, 
2022/4/4, 44, 11, 38, 4, 
2022/4/5, 39, 9, 24, 4, 
2022/4/6, 26, 5, 33, 2, 
2022/4/7, 10, 4, 33, 6, 
2022/4/8, 8, 3, 36, 5, 
2022/4/9, 9, , 37, 5, 
2022/4/12, 38, 18, 43, 14, 
2022/4/13, 41, 27, 41, 12, 
2022/4/14, 54, 21, 43, 6, 
2022/4/15, 53, 9, 36, 3, 
2022/4/16, 29, 10, 41, 4, 
2022/4/17, 27, 9, 45, 10, 
2022/4/18, 29, 11, 47, 9, 
2022/4/19, 29, 13, 45, 6, 
2022/4/20, 31, 16, 40, 7, 
2022/4/21, 45, 16, 43, 5, 
2022/4/22, 49, 21, 31, 5, 
2022/4/23, 58, 16, 37, 4, 
2022/4/24, 49, 10, 34, 7, 
2022/4/25, 37, 12, 38, 7, 
2022/4/26, 44, 10, 38, 5, 
2022/4/27, 36, 14, 49, 10, 
2022/4/28, 45, 17, 47, 12, 
2022/4/29, 49, 22, 36, 8, 
2022/4/30, 60, 18, 39, 4, 
2022/5/1, 60, 18, 45, 7, 
2022/5/2, 60, 19, 36, 11, 
2022/5/3, 57, 15, 42, 9, 
2022/5/4, 45, 17, 28, 9, 
2022/5/5, 50, 22, 34, 7, 
2022/5/6, 63, 19, 44, 8, 
2022/5/7, 54, 20, 40, 8, 
2022/5/8, 58, 18, 46, 9, 
2022/5/9, 54, 22, 49, 9, 
2022/5/10, 56, 20, 49, 5, 
2022/5/11, 52, 18, 37, 5, 
2022/5/12, 36, 18, 35, 7, 
2022/5/13, 40, , 43, 8, 
2022/5/17, 28, 12, 45, 7, 
2022/5/18, 29, 12, 43, 6, 
2022/5/19, 30, 16, 43, 5, 
2022/5/20, 36, 15, 37, 2, 
2022/5/21, 29, 8, 45, 6, 
2022/5/22, 20, 10, 30, 7, 
2022/5/23, 23, 10, 32, 3, 
2022/5/24, 19, 7, 36, 5, 
2022/5/25, 10, 6, 31, 2, 
2022/5/26, 11, 6, 25, 4, 
2022/5/27, 13, 7, 34, 3, 
2022/5/28, 16, , 35, 4, 
2022/6/1, 24, 9, 43, 4, 
2022/6/2, 18, 13, 39, 9, 
2022/6/3, 31, 15, 38, 7, 
2022/6/4, 44, 13, 28, 3, 
2022/6/5, 44, 8, 33, 2, 
2022/6/6, 20, 6, 28, 3, 
2022/6/7, 16, 6, 32, 3, 
2022/6/8, 12, 5, 29, 3, 
2022/6/9, 10, 7, 39, 4, 
2022/6/10, 15, 10, 48, 7, 
2022/6/11, 24, 11, 50, 5, 
2022/6/12, 31, 10, 42, 3, 
2022/6/13, 27, 11, 48, 6, 
2022/6/14, 26, 13, 75, 8, 
2022/6/15, 32, 16, 72, 7, 
2022/6/16, 41, 13, 48, 5, 
2022/6/17, 31, 13, 49, 6, 
2022/6/18, 28, 32, 50, 5, 
2022/6/19, 54, 32, 42, 7, 
2022/6/20, 60, 13, 44, 4, 
2022/6/21, 32, 17, 26, 7, 
2022/6/22, 44, 20, 42, 5, 
2022/6/23, 47, 13, 33, 3, 
2022/6/24, 27, 6, 36, 1, 
2022/6/25, 15, 6, 43, 3, 
2022/6/26, 16, 6, 28, 4, 
2022/6/27, 14, 8, 32, 3, 
2022/6/28, 17, 11, 43, 7, 
2022/6/29, 30, 16, 45, 6, 
2022/6/30, 44, 10, 25, 4, 
2022/1/3, 27, 4, 30, 3, 
2022/1/4, 11, 3, 32, 4, 
2022/1/5, 10, 6, 20, 8, 
2022/1/6, 21, 12, 22, 10, 
2022/1/7, 47, 6, 28, 5, 
2022/1/8, 21, 4, 32, 4, 
2022/1/9, 12, 10, 17, 15, 
2022/1/10, 36, 20, 24, 12, 
2022/1/11, 66, 15, 15, 17, 
2022/1/12, 54, 26, 10, 19, 
2022/1/13, 77, 32, 5, 21, 
2022/1/14, 85, 36, 5, 19, 
2022/1/15, 92, 22, 22, 12, 
2022/1/16, 72, 13, 20, 9, 
